Date,Round,Venue,Result,GF,GA,Opponent
2013-04-14,Regular Season,Away,D,1,1,Red Stars
2013-04-21,Regular Season,Away,L,1,2,Thorns
2013-04-26,Regular Season,Away,L,0,2,Kansas City
2013-05-04,Regular Season,Home,L,0,1,Kansas City
2013-05-11,Regular Season,Away,L,0,2,Sky Blue
2013-05-16,Regular Season,Home,L,2,4,Spirit
2013-05-19,Regular Season,Home,L,0,3,Sky Blue
2013-05-25,Regular Season,Home,L,0,1,Thorns
2013-06-09,Regular Season,Home,L,0,1,Kansas City
2013-06-16,Regular Season,Away,L,0,2,Thorns
2013-06-23,Regular Season,Away,D,1,1,Flash
2013-06-26,Regular Season,Away,W,2,1,Boston
2013-06-29,Regular Season,Home,W,3,1,Red Stars
2013-07-03,Regular Season,Home,D,1,1,Boston
2013-07-11,Regular Season,Home,W,3,2,Flash
2013-07-14,Regular Season,Home,W,2,1,Spirit
2013-07-20,Regular Season,Away,L,0,2,Kansas City
2013-07-25,Regular Season,Home,W,4,1,Red Stars
2013-08-03,Regular Season,Away,L,1,3,Red Stars
2013-08-07,Regular Season,Away,L,0,1,Flash
2013-08-10,Regular Season,Away,L,0,1,Spirit
2013-08-17,Regular Season,Home,L,1,2,Thorns
2014-04-13,Regular Season,Home,W,3,0,Boston
2014-04-23,Regular Season,Home,W,3,1,Spirit
2014-04-27,Regular Season,Home,W,2,0,Dash
2014-04-30,Regular Season,Away,W,2,0,Sky Blue
2014-05-03,Regular Season,Away,W,2,1,Spirit
2014-05-10,Regular Season,Away,W,1,0,Thorns
2014-05-14,Regular Season,Home,W,3,2,Kansas City
2014-05-21,Regular Season,Away,D,1,1,Kansas City
2014-05-25,Regular Season,Home,D,2,2,Flash
2014-06-01,Regular Season,Away,W,3,1,Sky Blue
2014-06-07,Regular Season,Home,W,3,1,Red Stars
2014-06-19,Regular Season,Away,W,2,0,Boston
2014-06-22,Regular Season,Away,W,2,1,Flash
2014-06-28,Regular Season,Home,D,0,0,Sky Blue
2014-07-02,Regular Season,Away,W,2,1,Flash
2014-07-06,Regular Season,Home,W,3,2,Boston
2014-07-12,Regular Season,Away,L,0,1,Red Stars
2014-07-20,Regular Season,Home,D,1,1,Red Stars
2014-07-27,Regular Season,Home,W,5,0,Thorns
2014-07-30,Regular Season,Away,W,4,1,Dash
2014-08-02,Regular Season,Away,D,1,1,Kansas City
2014-08-06,Regular Season,Home,W,4,1,Dash
2014-08-09,Regular Season,Home,D,1,1,Spirit
2014-08-17,Regular Season,Away,L,0,1,Thorns
2014-08-24,Semi-finals,Home,W,2,1,Spirit
2014-08-31,Final,Home,L,1,2,Kansas City
2015-04-12,Regular Season,Home,W,5,1,Flash
2015-04-18,Regular Season,Away,L,2,3,Red Stars
2015-04-23,Regular Season,Away,L,0,1,Kansas City
2015-05-02,Regular Season,Home,W,3,1,Spirit
2015-05-09,Regular Season,Away,D,1,1,Sky Blue
2015-05-30,Regular Season,Home,D,0,0,Red Stars
2015-06-06,Regular Season,Home,W,3,0,Sky Blue
2015-06-21,Regular Season,Away,W,3,2,Boston
2015-06-27,Regular Season,Home,W,2,1,Kansas City
2015-07-03,Regular Season,Away,D,1,1,Flash
2015-07-11,Regular Season,Home,W,4,2,Flash
2015-07-18,Regular Season,Away,L,0,3,Spirit
2015-07-22,Regular Season,Away,W,1,0,Thorns
2015-07-26,Regular Season,Home,W,3,0,Thorns
2015-08-01,Regular Season,Away,W,2,1,Boston
2015-08-12,Regular Season,Home,W,2,1,Dash
2015-08-21,Regular Season,Away,W,3,0,Dash
2015-08-26,Regular Season,Home,W,3,1,Boston
2015-08-29,Regular Season,Home,D,1,1,Sky Blue
2015-09-05,Regular Season,Away,W,2,1,Spirit
2015-09-13,Semi-finals,Home,W,3,0,Spirit
2015-10-01,Final,Neutral,L,0,1,Kansas City
2016-04-17,Regular Season,Home,L,1,2,Sky Blue
2016-04-24,Regular Season,Away,W,3,0,Boston
2016-05-01,Regular Season,Home,W,1,0,Kansas City
2016-05-08,Regular Season,Away,L,0,2,Pride
2016-05-14,Regular Season,Home,D,1,1,Thorns
2016-05-22,Regular Season,Home,L,1,2,Red Stars
2016-05-29,Regular Season,Away,D,0,0,Thorns
2016-06-12,Regular Season,Home,W,1,0,Dash
2016-06-19,Regular Season,Away,D,0,0,Sky Blue
2016-06-25,Regular Season,Away,D,0,0,Kansas City
2016-07-02,Regular Season,Home,W,2,0,Boston
2016-07-09,Regular Season,Away,L,2,3,Flash
2016-07-16,Regular Season,Home,D,1,1,Flash
2016-07-23,Regular Season,Home,W,5,2,Pride
2016-07-30,Regular Season,Away,L,0,1,Thorns
2016-08-27,Regular Season,Home,W,3,1,Thorns
2016-09-04,Regular Season,Away,D,2,2,Red Stars
2016-09-07,Regular Season,Away,L,1,2,Spirit
2016-09-11,Regular Season,Home,W,2,0,Spirit
2016-09-25,Regular Season,Away,W,3,2,Dash
2017-04-15,Regular Season,Home,D,1,1,Sky Blue
2017-04-22,Regular Season,Home,W,5,1,Dash
2017-04-29,Regular Season,Away,L,0,3,Boston
2017-05-06,Regular Season,Away,D,2,2,Thorns
2017-05-13,Regular Season,Home,W,6,2,Spirit
2017-05-21,Regular Season,Home,D,1,1,Pride
2017-05-27,Regular Season,Away,W,2,0,Dash
2017-06-04,Regular Season,Away,L,0,1,Red Stars
2017-06-17,Regular Season,Away,D,2,2,Kansas City
2017-06-24,Regular Season,Home,D,1,1,Kansas City
2017-06-28,Regular Season,Home,W,2,1,Red Stars
2017-07-01,Regular Season,Home,W,2,0,Thorns
2017-07-08,Regular Season,Away,L,0,2,Courage
2017-07-15,Regular Season,Home,D,1,1,Boston
2017-07-22,Regular Season,Home,W,5,4,Sky Blue
2017-08-05,Regular Season,Away,L,0,1,Courage
2017-08-13,Regular Season,Home,L,1,2,Courage
2017-08-16,Regular Season,Away,W,2,1,Red Stars
2017-08-19,Regular Season,Away,L,4,5,Sky Blue
2017-08-26,Regular Season,Home,L,1,2,Thorns
2017-09-03,Regular Season,Away,W,1,0,Dash
2017-09-07,Regular Season,Away,D,1,1,Pride
2017-09-24,Regular Season,Home,L,0,1,Kansas City
2017-09-30,Regular Season,Away,W,3,2,Spirit
2018-03-24,Regular Season,Home,W,2,1,Spirit
2018-04-15,Regular Season,Away,W,1,0,Sky Blue
2018-04-18,Regular Season,Away,L,0,1,Courage
2018-04-28,Regular Season,Away,D,1,1,Pride
2018-05-05,Regular Season,Away,W,3,2,Thorns
2018-05-12,Regular Season,Home,W,4,1,Sky Blue
2018-05-19,Regular Season,Home,D,0,0,Red Stars
2018-05-23,Regular Season,Away,L,1,2,Dash
2018-05-26,Regular Season,Away,W,1,0,Sky Blue
2018-06-03,Regular Season,Home,D,0,0,Pride
2018-06-16,Regular Season,Away,D,0,0,Spirit
2018-06-23,Regular Season,Home,L,1,4,Courage
2018-06-27,Regular Season,Away,D,0,0,Utah
2018-06-30,Regular Season,Home,W,1,0,Thorns
2018-07-07,Regular Season,Home,W,3,1,Dash
2018-07-11,Regular Season,Home,W,1,0,Utah
2018-07-14,Regular Season,Away,L,0,1,Red Stars
2018-07-21,Regular Season,Away,D,1,1,Pride
2018-08-05,Regular Season,Home,W,2,0,Spirit
2018-08-11,Regular Season,Away,W,1,0,Utah
2018-08-15,Regular Season,Home,D,0,0,Red Stars
2018-08-21,Regular Season,Home,W,2,0,Dash
2018-08-25,Regular Season,Home,D,1,1,Courage
2018-09-07,Regular Season,Away,L,1,3,Thorns
2018-09-15,Semi-finals,Away,L,1,2,Thorns
2019-04-14,Regular Season,Away,D,1,1,Dash
2019-04-21,Regular Season,Home,D,1,1,Pride
2019-04-28,Regular Season,Away,L,0,3,Red Stars
2019-05-04,Regular Season,Away,D,0,0,Spirit
2019-05-18,Regular Season,Home,W,2,1,Sky Blue
2019-05-27,Regular Season,Home,W,2,1,Courage
2019-06-02,Regular Season,Home,D,1,1,Dash
2019-06-15,Regular Season,Home,D,1,1,Spirit
2019-06-23,Regular Season,Away,W,1,0,Red Stars
2019-06-28,Regular Season,Away,W,2,0,Utah
2019-07-05,Regular Season,Away,W,1,0,Thorns
2019-07-13,Regular Season,Away,L,0,2,Courage
2019-07-28,Regular Season,Home,L,0,4,Red Stars
2019-08-02,Regular Season,Away,W,1,0,Dash
2019-08-07,Regular Season,Home,W,1,0,Thorns
2019-08-11,Regular Season,Home,L,1,3,Utah
2019-08-18,Regular Season,Away,D,1,1,Sky Blue
2019-08-24,Regular Season,Away,L,0,1,Courage
2019-09-07,Regular Season,Home,W,3,1,Pride
2019-09-14,Regular Season,Away,D,2,2,Spirit
2019-09-21,Regular Season,Home,L,0,1,Sky Blue
2019-09-25,Regular Season,Home,W,2,1,Utah
2019-09-29,Regular Season,Home,W,2,0,Thorns
2019-10-12,Regular Season,Away,D,2,2,Pride
2019-10-20,Semi-finals,Away,L,1,4,Courage
2020-06-30,Preliminary Round,Home,D,0,0,Sky Blue
2020-07-04,Preliminary Round,Away,L,0,2,Dash
2020-07-08,Preliminary Round,Away,W,1,0,Utah
2020-07-13,Preliminary Round,Home,D,0,0,Thorns
2020-07-18,Quarter-finals,Home,L,3,4,Red Stars
2020-09-26,NWSL Fall Series,Away,D,2,2,Utah
2020-09-30,NWSL Fall Series,Away,L,1,4,Thorns
2020-10-10,NWSL Fall Series,Home,L,1,2,Thorns
2020-10-17,NWSL Fall Series,Home,W,2,0,Utah
2021-04-16,Group stage,Home,D,0,0,Dash
2021-04-21,Group stage,Away,L,0,2,Thorns
2021-04-27,Group stage,Home,W,3,2,Red Stars
2021-05-03,Group stage,Away,W,2,1,Current
2021-05-15,Regular Season,Home,D,0,0,Courage
2021-05-23,Regular Season,Away,W,2,1,Thorns
2021-05-30,Regular Season,Home,L,0,1,Spirit
2021-06-05,Regular Season,Away,L,0,1,Gotham FC
2021-06-19,Regular Season,Away,L,1,2,Courage
2021-06-22,Regular Season,Home,W,2,0,Red Stars
2021-06-26,Regular Season,Home,L,0,3,Gotham FC
2021-07-02,Regular Season,Away,L,0,2,Dash
2021-07-11,Regular Season,Home,W,2,0,Current
2021-07-18,Regular Season,Away,L,1,3,Red Stars
2021-07-24,Regular Season,Away,W,2,0,Pride
2021-07-31,Regular Season,Home,W,2,0,Louisville
2021-08-07,Regular Season,Home,W,5,1,Dash
2021-08-14,Regular Season,Away,L,0,1,Current
2021-08-21,Regular Season,Home,W,3,2,Gotham FC
2021-08-29,Regular Season,Home,W,2,1,Thorns
2021-09-01,Regular Season,Away,W,1,0,Dash
2021-09-04,Regular Season,Away,D,1,1,Louisville
2021-09-12,Regular Season,Away,W,3,0,Spirit
2021-09-26,Regular Season,Home,W,3,0,Pride
2021-10-10,Regular Season,Home,W,3,2,Red Stars
2021-10-13,Regular Season,Away,D,1,1,Thorns
2021-10-16,Regular Season,Home,L,0,2,Spirit
2021-10-30,Regular Season,Away,W,3,0,Current
2021-11-14,Semi-finals,Home,L,1,2,Spirit
2022-03-18,Matchweek 1,Home,D,1,1,Thorns
2022-03-26,Matchweek 2,Away,W,3,1,Angel City
2022-04-02,Matchweek 4,Away,W,1,0,Thorns
2022-04-14,Matchweek 3,Home,W,3,1,Wave
2022-04-17,Matchweek 5,Home,W,2,1,Angel City
2022-04-23,Matchweek 6,Away,D,1,1,Wave
2022-05-01,Regular Season,Away,L,1,2,Spirit
2022-05-04,Semifinals,Home,L,0,1,Spirit
2022-05-08,Regular Season,Home,D,2,2,Louisville
2022-05-13,Regular Season,Away,D,0,0,Thorns
2022-05-22,Regular Season,Home,D,0,0,Spirit
2022-05-25,Regular Season,Home,W,1,0,Current
2022-05-29,Regular Season,Home,W,1,0,Wave
2022-06-04,Regular Season,Away,L,0,1,Red Stars
2022-06-12,Regular Season,Away,D,1,1,Wave
2022-06-18,Regular Season,Home,W,1,0,Angel City
2022-07-01,Regular Season,Home,W,2,0,Courage
2022-07-10,Regular Season,Home,D,2,2,Thorns
2022-07-17,Regular Season,Away,L,0,1,Current
2022-07-30,Regular Season,Away,W,3,2,Angel City
2022-08-02,Regular Season,Away,D,1,1,Louisville
2022-08-07,Regular Season,Home,L,1,2,Dash
2022-08-14,Regular Season,Home,W,4,1,Gotham FC
2022-08-26,Regular Season,Away,W,2,1,Pride