p1,p2,combos,p1g,p1a,p2g,p2a,p1g_p2a,p2g_p1a,goals
Sam Kerr,Yuki Nagasato,17,57,13,19,23,15,2,76
Lynn Williams,Jessica McDonald,15,62,27,40,34,10,5,102
Lynn Williams,Debinha,12,62,27,51,20,8,4,113
Lindsey Horan,Tobin Heath,9,31,14,13,21,7,2,44
Christine Sinclair,Lindsey Horan,8,53,11,31,14,5,3,84
Jessica McDonald,Crystal Dunn,8,40,34,24,18,3,5,64
Trinity Rodman,Ashley Sanchez,8,16,12,11,7,3,5,27
Lynn Williams,Crystal Dunn,7,62,27,24,18,3,4,86
Lynn Williams,Sam Mewis,7,62,27,22,12,4,3,84
Alex Morgan,Marta,7,43,14,27,14,4,3,70
Alex Morgan,Taylor Kornieck,7,43,14,8,7,6,1,51
Jessica McDonald,Jaelene Daniels,7,40,34,4,18,7,0,44
Midge Purce,Ifeoma Onumonu,7,25,9,17,11,4,3,42
Debinha,Jessica McDonald,6,51,20,40,34,5,1,91
Rachel Daly,Kealia Ohai Watt,6,42,11,27,16,5,1,69
Sam Kerr,Vanessa DiBernardo,6,57,13,11,18,3,3,68
Christine Sinclair,Tobin Heath,6,53,11,13,21,4,2,66
Rachel Daly,Nichelle Prince,6,42,11,14,10,6,0,56
Shea Groom,Kristie Mewis,6,29,18,22,19,4,2,51
Bethany Balcer,Jessica Fishlock,6,27,4,23,16,4,2,50
Lynn Williams,Kristen Hamilton,5,62,27,31,12,3,2,93
Lynn Williams,Makenzy Doniak,5,62,27,11,10,4,1,73
Sam Kerr,Maya Hayes,5,57,13,8,4,4,1,65
Christen Press,Sofia Huerta,5,34,9,31,26,3,2,65
Ashley Hatch,Trinity Rodman,5,45,5,16,12,5,0,61
Sofia Huerta,Bethany Balcer,5,31,26,27,4,0,5,58
Megan Rapinoe,Jodie Taylor,5,33,15,19,5,0,5,52
Sophia Smith,Morgan Weaver,5,26,4,11,7,4,1,37
Lindsey Horan,Meghan Klingenberg,5,31,14,0,21,5,0,31
Amy Rodriguez,Verónica Boquete,5,24,2,1,8,5,0,25
Rachel Daly,Sofia Huerta,4,42,11,31,26,2,2,73
Lynn Williams,Merritt Mathias,4,62,27,8,13,4,0,70
Sam Kerr,Daphne Corboz,4,57,13,1,5,4,0,58
Debinha,Kerolin,4,51,20,7,4,2,2,58
Megan Rapinoe,Jessica Fishlock,4,33,15,23,16,3,1,56
Megan Rapinoe,Nahomi Kawasumi,4,33,15,13,21,3,1,46
Lindsey Horan,Hayley Raso,4,31,14,13,7,1,3,44
Sofia Huerta,Alyssa Mautz,4,31,26,7,5,2,2,38
Mallory Pugh,Bianca St-Georges,4,31,15,4,4,3,1,35
Kealia Ohai Watt,Denise O'Sullivan,4,27,16,4,12,4,0,31
Tobin Heath,Allie Long,4,13,21,12,6,0,4,25
Trinity Rodman,Andi Sullivan,4,16,12,7,6,3,1,23
Natasha Dowie,Adriana Leon,4,10,2,6,6,3,1,16
Diana Ordóñez,Carson Pickett,4,12,1,1,16,4,0,13
Christine Sinclair,Nadia Nadim,3,53,11,24,8,3,0,77
Debinha,Crystal Dunn,3,51,20,24,18,3,0,75
Rachel Daly,Shea Groom,3,42,11,29,18,1,2,71
Jessica McDonald,Kristen Hamilton,3,40,34,31,12,2,1,71
Sam Kerr,Katie Johnson,3,57,13,12,11,3,0,69
Lynn Williams,Taylor Smith,3,62,27,6,7,2,1,68
Christine Sinclair,Hayley Raso,3,53,11,13,7,2,1,66
Christine Sinclair,Allie Long,3,53,11,12,6,2,1,65
Rachel Daly,Kristie Mewis,3,42,11,22,19,3,0,64
Jessica McDonald,Nadia Nadim,3,40,34,24,8,0,3,64
Lynn Williams,Carson Pickett,3,62,27,1,16,3,0,63
Sam Kerr,Leah Galton,3,57,13,5,5,2,1,62
Sam Kerr,Jennifer Vasconcelos,3,57,13,4,3,2,1,61
Debinha,Hailie Mace,3,51,20,8,8,2,1,59
Mallory Pugh,Kealia Ohai Watt,3,31,15,27,16,2,1,58
Sofia Huerta,Kristie Mewis,3,31,26,22,19,1,2,53
Shea Groom,Sydney Leroux,3,29,18,24,7,1,2,53
Jessica McDonald,Makenzy Doniak,3,40,34,11,10,1,2,51
Jessica McDonald,Abby Erceg,3,40,34,10,5,1,2,50
Mallory Pugh,Yuki Nagasato,3,31,15,19,23,1,2,50
Christen Press,Lo’eau LaBonta,3,34,9,14,11,2,1,48
Ashley Hatch,Tori Huster,3,45,5,2,6,3,0,47
Crystal Dunn,Sam Mewis,3,24,18,22,12,1,2,46
Christen Press,Vanessa DiBernardo,3,34,9,11,18,3,0,45
Alex Morgan,Sofia Jakobsson,3,43,14,1,4,3,0,44
Shea Groom,Lo’eau LaBonta,3,29,18,14,11,1,2,43
Carli Lloyd,Rocky Rodriguez,3,25,6,15,8,3,0,40
Kristen Hamilton,Hailie Mace,3,31,12,8,8,3,0,39
Marta,Jasmyne Spencer,3,27,14,10,6,2,1,37
Kristie Mewis,Nichelle Prince,3,22,19,14,10,2,1,36
Midge Purce,Paige Monaghan,3,25,9,10,3,1,2,35
Kristen Hamilton,Elyse Bennett,3,31,12,3,6,3,0,34
Kristie Mewis,Veronica Latsko,3,22,19,12,6,1,2,34
Mallory Pugh,Ava Cook,3,31,15,2,3,2,1,33
Sofia Huerta,Arin Wright,3,31,26,2,12,3,0,33
Shea Groom,Maria Sánchez,3,29,18,4,7,2,1,33
Shea Groom,Tiffany McCarty,3,29,18,3,4,3,0,32
Kealia Ohai Watt,Janine Beckie,3,27,16,5,5,2,1,32
Kristie Mewis,McCall Zerboni,3,22,19,10,6,0,3,32
Carli Lloyd,Imani Dorsey,3,25,6,6,4,3,0,31
Ifeoma Onumonu,Nahomi Kawasumi,3,17,11,13,21,3,0,30
Sophia Smith,Olivia Lynn Moultrie,3,26,4,3,5,2,1,29
Yuki Nagasato,Casey Krueger,3,19,23,8,6,2,1,27
Ifeoma Onumonu,Paige Monaghan,3,17,11,10,3,1,2,27
Sam Mewis,Abby Dahlkemper,3,22,12,3,4,3,0,25
Trinity Rodman,Kelley O'Hara,3,16,12,7,10,2,1,23
Nahomi Kawasumi,Beverly Yanez,3,13,21,10,4,0,3,23
Nahomi Kawasumi,Christine Nairn,3,13,21,6,14,2,1,19
Tobin Heath,Dagný Brynjarsdóttir,3,13,21,6,2,0,3,19
Francisca Ordega,Havana Solaun,3,10,4,7,5,1,2,17
Abby Erceg,Jaelene Daniels,3,10,5,4,18,3,0,14
Eugénie Le Sommer,Dzsenifer Marozsán,3,8,3,0,3,3,0,8
Lynn Williams,Ashley Hatch,2,62,27,45,5,1,1,107
Debinha,Kristen Hamilton,2,51,20,31,12,0,2,82
Ashley Hatch,Mallory Pugh,2,45,5,31,15,1,1,76
Sam Kerr,Rocky Rodriguez,2,57,13,15,8,0,2,72
Sam Kerr,Sarah Woldmoe,2,57,13,14,9,2,0,71
Lynn Williams,Leah Pruitt,2,62,27,5,3,0,2,67
Lynn Williams,Lianne Sanderson,2,62,27,5,1,0,2,67
Alex Morgan,Sydney Leroux,2,43,14,24,7,1,1,67
Lynn Williams,Jaelene Daniels,2,62,27,4,18,2,0,66
Sam Kerr,Morgan Gautrat,2,57,13,6,4,1,1,63
Debinha,Diana Ordóñez,2,51,20,12,1,1,1,63
Christine Sinclair,Emily Sonnett,2,53,11,8,2,1,1,61
Alex Morgan,Rachel Hill,2,43,14,17,3,0,2,60
Sam Kerr,Arin Wright,2,57,13,2,12,2,0,59
Christine Sinclair,Dagný Brynjarsdóttir,2,53,11,6,2,1,1,59
Debinha,Merritt Mathias,2,51,20,8,13,1,1,59
Sam Kerr,Taylor Lytle,2,57,13,1,9,2,0,58
Sofia Huerta,Kealia Ohai Watt,2,31,26,27,16,1,1,58
Ashley Hatch,Ashley Sanchez,2,45,5,11,7,2,0,56
Debinha,Meredith Speck,2,51,20,4,7,2,0,55
Jessica McDonald,CeCe Kizer,2,40,34,15,5,1,1,55
Lindsey Horan,Nadia Nadim,2,31,14,24,8,2,0,55
Alex Morgan,Kristen Edmonds,2,43,14,11,3,2,0,54
Sofia Huerta,Jessica Fishlock,2,31,26,23,16,1,1,54
Debinha,Theresa Boade,2,51,20,2,1,1,1,53
Alex Morgan,Jasmyne Spencer,2,43,14,10,6,2,0,53
Kristen Hamilton,Sam Mewis,2,31,12,22,12,2,0,53
Ashley Hatch,Andi Sullivan,2,45,5,7,6,2,0,52
Kealia Ohai Watt,Carli Lloyd,2,27,16,25,6,1,1,52
Ashley Hatch,Jordan Baggett,2,45,5,5,1,1,1,50
Ashley Hatch,Tara McKeown,2,45,5,4,4,2,0,49
Jessica McDonald,Merritt Mathias,2,40,34,8,13,2,0,48
Alex Morgan,Danielle Weatherholt,2,43,14,3,2,1,1,46
Rachel Daly,Andressinha,2,42,11,4,4,0,2,46
Christen Press,Katie Stengel,2,34,9,12,5,1,1,46
Rachel Daly,Bri Visalli,2,42,11,3,1,1,1,45
Megan Rapinoe,Katie Johnson,2,33,15,12,11,2,0,45
Kristen Hamilton,Lo’eau LaBonta,2,31,12,14,11,2,0,45
Mallory Pugh,Sarah Woldmoe,2,31,15,14,9,1,1,45
Alex Morgan,Steph Catley,2,43,14,1,8,2,0,44
Jessica McDonald,Elizabeth Eddy,2,40,34,4,4,2,0,44
Jessica McDonald,Denise O'Sullivan,2,40,34,4,12,1,1,44
Megan Rapinoe,Rose Lavelle,2,33,15,11,5,0,2,44
Shea Groom,Ebony Salmon,2,29,18,15,2,0,2,44
Marta,Rachel Hill,2,27,14,17,3,1,1,44
Sofia Huerta,Veronica Latsko,2,31,26,12,6,0,2,43
Jessica McDonald,Lauren Milliet,2,40,34,2,2,1,1,42
Sofia Huerta,Vanessa DiBernardo,2,31,26,11,18,2,0,42
Sofia Huerta,Rose Lavelle,2,31,26,11,5,0,2,42
Christen Press,Alyssa Mautz,2,34,9,7,5,1,1,41
Christen Press,Gunny Jónsdóttir,2,34,9,7,8,2,0,41
Megan Rapinoe,Eugénie Le Sommer,2,33,15,8,3,0,2,41
Kristen Hamilton,Abby Erceg,2,31,12,10,5,1,1,41
Mallory Pugh,Francisca Ordega,2,31,15,10,4,1,1,41
Kristen Hamilton,McCall Zerboni,2,31,12,10,6,1,1,41
Shea Groom,Veronica Latsko,2,29,18,12,6,1,1,41
Shea Groom,Katie Johnson,2,29,18,12,11,1,1,41
Marta,Chioma Ubogagu,2,27,14,13,7,1,1,40
Carli Lloyd,Sarah Woldmoe,2,25,6,14,9,2,0,39
Kealia Ohai Watt,Vanessa DiBernardo,2,27,16,11,18,1,1,38
Sydney Leroux,Chioma Ubogagu,2,24,7,13,7,1,1,37
Midge Purce,Simone Charley,2,25,9,11,3,2,0,36
Jessica Fishlock,Nahomi Kawasumi,2,23,16,13,21,2,0,36
Megan Rapinoe,Jordyn Huitema,2,33,15,2,2,2,0,35
Mallory Pugh,Amanda Kowalski,2,31,15,4,0,0,2,35
Kristen Hamilton,Jaelene Daniels,2,31,12,4,18,2,0,35
Sofia Huerta,Julie Ertz,2,31,26,4,4,1,1,35
Sofia Huerta,Danielle Colaprico,2,31,26,4,11,2,0,35
Marta,Alanna Stephanie Kennedy,2,27,14,8,2,0,2,35
Midge Purce,Natasha Dowie,2,25,9,10,2,0,2,35
Marta,Gunny Jónsdóttir,2,27,14,7,8,1,1,34
Jessica Fishlock,Rose Lavelle,2,23,16,11,5,1,1,34
Yuki Nagasato,Ebony Salmon,2,19,23,15,2,1,1,34
Sofia Huerta,Taylor Comeau,2,31,26,2,3,1,1,33
Shea Groom,Heather O'Reilly,2,29,18,3,3,2,0,32
Marta,Camila,2,27,14,5,5,1,1,32
Sam Mewis,McCall Zerboni,2,22,12,10,6,2,0,32
Kristen Hamilton,Isabel Rodriguez,2,31,12,0,2,2,0,31
Sydney Leroux,Gunny Jónsdóttir,2,24,7,7,8,1,1,31
Crystal Dunn,Diana Matheson,2,24,18,7,1,0,2,31
Amy Rodriguez,Gunny Jónsdóttir,2,24,2,7,8,2,0,31
Jessica Fishlock,Eugénie Le Sommer,2,23,16,8,3,1,1,31
Savannah McCaskill,Ebony Salmon,2,16,11,15,2,0,2,31
Carli Lloyd,Janine Beckie,2,25,6,5,5,0,2,30
Sydney Leroux,Brittany Ratcliffe,2,24,7,6,3,2,0,30
Sydney Leroux,Erika Tymrak,2,24,7,6,8,1,1,30
Kristie Mewis,Sophie Schmidt,2,22,19,8,5,1,1,30
Jodie Taylor,Darian Jenkins,2,19,5,11,3,1,1,30
Rachel Hill,Chioma Ubogagu,2,17,3,13,7,1,1,30
Shea Groom,Caroline Kastor,2,29,18,0,2,2,0,29
Kealia Ohai Watt,Sarah Luebbert,2,27,16,2,3,1,1,29
Crystal Dunn,Joanna Lohman,2,24,18,5,1,0,2,29
Jessica Fishlock,Tziarra King,2,23,16,6,3,2,0,29
Nadia Nadim,Amandine Henry,2,24,8,4,1,1,1,28
Crystal Dunn,Jaelene Daniels,2,24,18,4,18,2,0,28
Kealia Ohai Watt,Rebecca Moros,2,27,16,0,2,2,0,27
Kealia Ohai Watt,Stephanie Ochs,2,27,16,0,2,2,0,27
Sophia Smith,Natalia Kuikka,2,26,4,1,4,2,0,27
Kristie Mewis,Kyah Simon,2,22,19,5,5,2,0,27
Sophia Smith,Meghan Klingenberg,2,26,4,0,21,2,0,26
Sydney Leroux,Ali Krieger,2,24,7,2,8,2,0,26
Amy Rodriguez,Mallory Weber,2,24,2,2,2,2,0,26
Midge Purce,Ellie Jean,2,25,9,0,2,2,0,25
Jessica Fishlock,Kiersten Dallstream,2,23,16,1,2,2,0,24
Savannah McCaskill,Casey Krueger,2,16,11,8,6,1,1,24
Yuki Nagasato,Julie Ertz,2,19,23,4,4,0,2,23
Katie Johnson,Vanessa DiBernardo,2,12,11,11,18,2,0,23
Savannah McCaskill,Imani Dorsey,2,16,11,6,4,0,2,22
Ifeoma Onumonu,Celia,2,17,11,4,2,1,1,21
Tobin Heath,Emily Sonnett,2,13,21,8,2,0,2,21
Jodie Taylor,Theresa Eslund,2,19,5,1,3,2,0,20
Trinity Rodman,Sam Staab,2,16,12,4,4,2,0,20
Savannah McCaskill,Bianca St-Georges,2,16,11,4,4,1,1,20
Nahomi Kawasumi,Manon Melis,2,13,21,7,1,1,1,20
McCall Zerboni,Abby Erceg,2,10,6,10,5,2,0,20
Hayley Raso,Ana-Maria Crnogorcevic,2,13,7,6,4,1,1,19
Chioma Ubogagu,Christine Nairn,2,13,7,6,14,2,0,19
Ifeoma Onumonu,Caprice Dydasco,2,17,11,1,7,1,1,18
Rachel Hill,Emily van Egmond,2,17,3,1,4,2,0,18
Nichelle Prince,Andressinha,2,14,10,4,4,2,0,18
Katie Stengel,Christine Nairn,2,12,5,6,14,1,1,18
Morgan Weaver,Hina Sugita,2,11,7,7,4,2,0,18
Savannah McCaskill,Jun Endo,2,16,11,1,4,1,1,17
CeCe Kizer,Alexis Loera,2,15,5,2,3,2,0,17
Lo’eau LaBonta,Elyse Bennett,2,14,11,3,6,1,1,17
Veronica Latsko,Kyah Simon,2,12,6,5,5,0,2,17
CeCe Kizer,Emily Fox,2,15,5,1,2,1,1,16
Tobin Heath,Caitlin Foord,2,13,21,3,2,1,1,16
Ebony Salmon,Natalie Ann Jacobs,2,15,2,0,5,2,0,15
Jasmyne Spencer,Camila,2,10,6,5,5,2,0,15
Sophie Schmidt,Marisa Viggiano,2,8,5,7,2,1,1,15
Nahomi Kawasumi,Keelin Winters,2,13,21,1,2,1,1,14
Veronica Latsko,Thembi Kgatlana,2,12,6,2,3,2,0,14
Makenzy Doniak,Amirah Ali,2,11,10,3,1,0,2,14
Gunny Jónsdóttir,Diana Matheson,2,7,8,7,1,1,1,14
Katie Stengel,Taylor Lytle,2,12,5,1,9,2,0,13
Cheyna Lee Matthews,Caprice Dydasco,2,12,3,1,7,2,0,13
Vanessa DiBernardo,Sarah Griffith,2,11,18,2,1,0,2,13
Gunny Jónsdóttir,Erika Tymrak,2,7,8,6,8,1,1,13
Darian Jenkins,Steph Catley,2,11,3,1,8,2,0,12
Taylor Kornieck,Meggie Dougherty Howard,2,8,7,4,6,2,0,12
Kelley O'Hara,Leah Galton,2,7,10,5,5,2,0,12
Abby Erceg,Carson Pickett,2,10,5,1,16,2,0,11
Kelley O'Hara,Natasha Kai,2,7,10,4,1,0,2,11
Alyssa Mautz,Arin Wright,2,7,5,2,12,2,0,9
Emily Sonnett,Meghan Klingenberg,2,8,2,0,21,2,0,8
Madison Tiernan,Taylor Lytle,2,5,2,1,9,2,0,6
Elyse Bennett,Alexis Loera,2,3,6,2,3,1,1,5
Marissa Everett,Meghan Klingenberg,2,4,0,0,21,2,0,4
Ali Krieger,Shelina Zadorsky,2,2,8,1,4,1,1,3
Debinha,Ashley Hatch,1,51,20,45,5,0,1,96
Christine Sinclair,Sophia Smith,1,53,11,26,4,0,1,79
Christine Sinclair,Crystal Dunn,1,53,11,24,18,1,0,77
Ashley Hatch,Kristen Hamilton,1,45,5,31,12,1,0,76
Debinha,Sam Mewis,1,51,20,22,12,1,0,73
Lynn Williams,McCall Zerboni,1,62,27,10,6,0,1,72
Lynn Williams,Abby Erceg,1,62,27,10,5,1,0,72
Ashley Hatch,Sam Mewis,1,45,5,22,12,1,0,67
Rachel Daly,Carli Lloyd,1,42,11,25,6,0,1,67
Lynn Williams,Denise O'Sullivan,1,62,27,4,12,1,0,66
Lynn Williams,Meredith Speck,1,62,27,4,7,1,0,66
Sam Kerr,Casey Krueger,1,57,13,8,6,0,1,65
Sam Kerr,Rosie White,1,57,13,8,3,0,1,65
Sam Kerr,Alyssa Mautz,1,57,13,7,5,1,0,64
Sam Kerr,Kelley O'Hara,1,57,13,7,10,1,0,64
Jessica McDonald,Amy Rodriguez,1,40,34,24,2,0,1,64
Megan Rapinoe,Sofia Huerta,1,33,15,31,26,1,0,64
Lynn Williams,Michaela Hahn,1,62,27,1,1,1,0,63
Lynn Williams,Rylee Baisden,1,62,27,1,1,1,0,63
Lynn Williams,Addie McCain,1,62,27,1,1,0,1,63
Lynn Williams,Ryan Williams,1,62,27,0,6,1,0,62
Sam Kerr,Madison Tiernan,1,57,13,5,2,1,0,62
Alex Morgan,Jodie Taylor,1,43,14,19,5,0,1,62
Jessica McDonald,Sam Mewis,1,40,34,22,12,1,0,62
Christine Sinclair,Tyler Lussi,1,53,11,7,4,1,0,60
Christine Sinclair,Hina Sugita,1,53,11,7,4,1,0,60
Megan Rapinoe,Bethany Balcer,1,33,15,27,4,0,1,60
Sam Kerr,Brooke Elby,1,57,13,2,1,1,0,59
Christine Sinclair,Ana-Maria Crnogorcevic,1,53,11,6,4,0,1,59
Sam Kerr,McKenzie Meehan,1,57,13,1,1,1,0,58
Sam Kerr,Nikki Stanton,1,57,13,1,1,1,0,58
Christine Sinclair,Janine Beckie,1,53,11,5,5,1,0,58
Christen Press,Amy Rodriguez,1,34,9,24,2,0,1,58
Sam Kerr,Erin Simon,1,57,13,0,3,1,0,57
Debinha,Taylor Smith,1,51,20,6,7,1,0,57
Lindsey Horan,Sophia Smith,1,31,14,26,4,0,1,57
Christine Sinclair,Caitlin Foord,1,53,11,3,2,1,0,56
Ashley Hatch,Makenzy Doniak,1,45,5,11,10,1,0,56
Mallory Pugh,Midge Purce,1,31,15,25,9,0,1,56
Debinha,Denise O'Sullivan,1,51,20,4,12,1,0,55
Debinha,Elizabeth Eddy,1,51,20,4,4,0,1,55
Debinha,Cari Roccaro,1,51,20,4,2,1,0,55
Rachel Daly,Chioma Ubogagu,1,42,11,13,7,0,1,55
Kristen Hamilton,Crystal Dunn,1,31,12,24,18,0,1,55
Christine Sinclair,Samantha Grace Coffey,1,53,11,1,2,1,0,54
Christine Sinclair,Katherine Reynolds,1,53,11,1,1,1,0,54
Debinha,Heather O'Reilly,1,51,20,3,3,1,0,54
Debinha,Kaleigh Kurtz,1,51,20,3,2,0,1,54
Alex Morgan,Makenzy Doniak,1,43,14,11,10,0,1,54
Rachel Daly,Veronica Latsko,1,42,11,12,6,1,0,54
Shea Groom,Carli Lloyd,1,29,18,25,6,0,1,54
