city,year,name
BOS,2013,Boston Breakers
KC,2013,FC Kansas City
CHI,2013,Chicago Red Stars
POR,2013,Portland Thorns
RGN,2013,Seattle Reign
NJNY,2013,Sky Blue FC
WAS,2013,Washington Spirit
WNY,2013,Western New York Flash
HOU,2014,Houston Dash
ORL,2016,Orlando Pride
NC,2017,North Carolina Courage
UTA,2017,Utah Royals
RGN,2019,Reign FC
RGN,2020,OL Reign
NJNY,2021,NJ/NY Gotham FC
KC,2021,Kansas City
LOU,2021,Racing Louisville
KC,2022,Kansas City Current
LA,2022,Angel City FC
SD,2022,San Diego Wave
SF,2024,Bay FC
UTA,2024,Utah Royals
BOS,2026,Boston