team,player
CHI,Alyssa Naeher
CHI,Amanda Kowalski
CHI,Arin Wright
CHI,Ava Cook
CHI,Bianca St-Georges
CHI,Casey Krueger
CHI,Channing Foster
CHI,Chelsie Dawber
CHI,Danielle Colaprico
CHI,Ella Stevens
CHI,Emily Boyd
CHI,Jill Aguilera
CHI,Kayla Sharples
CHI,Kealia Watt
CHI,Mallory Swanson
CHI,Mikenna McManus
CHI,Morgan Gautrat
CHI,Rachel Hill
CHI,Samantha Fisher
CHI,Sarah Griffith
CHI,Sarah Luebert
CHI,Sarah Woldmoe
CHI,Tatumn Milazzo
CHI,Tierna Davidson
CHI,Vanessa DiBernardo
CHI,Yuki Nagasato
CHI,Zoe Morse
HOU,Ally Prisock
HOU,Allysha Chapman
HOU,Annika Creel
HOU,Brianna Visalli
HOU,Cali Farquharson
HOU,Caprice Dydasco
HOU,Ebony Salmon
HOU,Elizabeth Eddy
HOU,Ella Dederick
HOU,Emily Curran
HOU,Jane Campbell
HOU,Joelle Anderson
HOU,Julia Ashley
HOU,Katie Lind
HOU,Kelcie Hedge
HOU,Lindsey Harris
HOU,Makamae Gomera-Stevens
HOU,María Sánchez
HOU,Marisa Viggiano
HOU,Michaela Abam
HOU,Michelle Alozie
HOU,Natalie Jacobs
HOU,Nichelle Prince
HOU,Paulina Gramaglia
HOU,Ryan Gareis
HOU,Shea Groom
HOU,Sophie Schmidt
HOU,Tiernny Wiltshire
HOU,Valérie Gauvin
KC,Addie McCain
KC,Addisyn Merrick
KC,Adrianna Franch
KC,Alex Loera
KC,Cassie Miller
KC,Cece Kizer
KC,Chardonnay Curran
KC,Chloe Logarzo
KC,Claire Lavogez
KC,Desiree Scott
KC,Elizabeth Ball
KC,Elyse Bennett
KC,Hailie Mace
KC,Izzy Rodriguez
KC,Jaycie Johnson
KC,Jenna Winebrenner
KC,Kate Del Fava
KC,Kristen Edmonds
KC,Kristen Hamilton
KC,Lo'eau LaBonta
KC,Lynn Williams
KC,Mallory Weber
KC,Sam Mewis
KC,Sydney Schneider
KC,Taylor Leach
LA,Ali Riley
LA,Allyson Swaby
LA,Almuth Schult
LA,Brittany Isenhour
LA,Cari Roccaro
LA,Christen Press
LA,Claire Emslie
LA,Clarisse Le Bihan
LA,Dani Weatherholt
LA,DiDi Haračić
LA,Hope Breslin
LA,Jasmyne Spencer
LA,Jun Endo
LA,Katie Cousins
LA,Lily Nabet
LA,Madison Hammond
LA,Maia Pérez
LA,M.A. Vignola
LA,Megan Reid
LA,Miri Taylor
LA,Paige Nielsen
LA,Sarah Gorden
LA,Savannah McCaskill
LA,Simone Charley
LA,Steffany Ferrer Van Ginkel
LA,Sydney Leroux
LA,Tyler Lussi
LA,Vanessa Gilles
LOU,Alex Chidiac
LOU,Cheyna Matthews
LOU,Emily Fox
LOU,Emina Ekic
LOU,Gemma Bonner
LOU,Hillary Beall
LOU,Jaelin Howell
LOU,Jessica McDonald
LOU,Jordyn Bloomer
LOU,Julia Lester
LOU,Katie Lund
LOU,Kelsey Daugherty
LOU,Kirsten Davis
LOU,Lauren Milliet
LOU,Nadia Nadim
LOU,Nealy Martin
LOU,Parker Goins
LOU,Rebecca Holloway
LOU,Satara Murray
LOU,Savannah DeMelo
LOU,Taylor Malham
LOU,Thembi Kgatlana
LOU,Wang Shuang
LOU,Zaneta Wyne
NC,Abby Erceg
NC,Brianna Pinto
NC,Brittany Ratcliffe
NC,Carson Pickett
NC,Casey Murphy
NC,Debinha
NC,Denise O'Sullivan
NC,Diana Ordoñez
NC,Emily Gray
NC,Frankie Tagliaferri
NC,Fuka Nagano
NC,Jaelene Daniels
NC,Kaleigh Kurtz
NC,Katelyn Rowland
NC,Katie Bowen
NC,Kerolin
NC,Kiki Pickett
NC,Malia Berkely
NC,Marisa Bova
NC,Meredith Speck
NC,Merritt Mathias
NC,Millie Farrow
NC,Rikke Madsen
NC,Ryan Williams
NC,Rylee Baisden
NC,Tess Boade
NJY,Ali Krieger
NJY,Allie Long
NJY,Ashlyn Harris
NJY,Bruninha
NJY,Cameron Tucker
NJY,Delanie Sheehan
NJY,Domi Richardson
NJY,Ellie Jean
NJY,Estelle Johnson
NJY,Hensley Hancuff
NJY,Ifeoma Onumonu
NJY,Imani Dorsey
NJY,Jenna Bike
NJY,Jennifer Cudjoe
NJY,Kelly Ann Livingstone
NJY,Kristie Mewis
NJY,Kumi Yokoyama
NJY,Mandy Freeman
NJY,McCall Zerboni
NJY,Michelle Betos
NJY,Midge Purce
NJY,Nahomi Kawasumi
NJY,Nicole Baxter
NJY,Paige Monaghan
NJY,Sabrina Flores
NJY,Taryn Torres
NJY,Taylor Smith
NJY,Victoria Pickett
ORL,Ally Watt
ORL,Anna Moorhouse
ORL,Caitlin Cosme
ORL,Carrie Lawrence
ORL,Celia
ORL,Chelsee Washington
ORL,Courtney Petersen
ORL,Darian Jenkins
ORL,Erika Tymrak
ORL,Erin McLeod
ORL,Gunnhildur Jónsdóttir
ORL,Haley Bugeja
ORL,Haley McCutcheon
ORL,Jordyn Listro
ORL,Julie Doyle
ORL,Kaylie Collins
ORL,Kerry Abello
ORL,Kylie Strom
ORL,Leah Pruitt
ORL,Marta
ORL,Megan Montefusco
ORL,Meggie Dougherty Howard
ORL,Mikayla Cluff
ORL,Parker Roberts
ORL,Thais Reiss
ORL,Toni Pressley
ORL,Viviana Villacorta
POR,Abby Smith
POR,Becky Sauerbrunn
POR,Bella Bixby
POR,Christine Sinclair
POR,Crystal Dunn
POR,Emily Menges
POR,Gabby Provenzano
POR,Hannah Betfort
POR,Hina Sugita
POR,Janine Beckie
POR,Kelli Hubly
POR,Lindsey Horan
POR,Marissa Everett
POR,Meaghan Nally
POR,Meghan Klingenberg
POR,Michele Vasconcelos
POR,Morgan Weaver
POR,Natalia Kuikka
POR,Natalie Beckman
POR,Olivia Moultrie
POR,Raquel Rodríguez
POR,Sam Coffey
POR,Shelby Hogan
POR,Sophia Smith
POR,Taylor Porter
POR,Tegan McGrady
POR,Yazmeen Ryan
RGN,Alana Cook
RGN,Alyssa Malonson
RGN,Angelina
RGN,Bethany Balcer
RGN,Claudia Dickey
RGN,Jess Fishlock
RGN,Jimena López
RGN,Jodi Ulkekul
RGN,Jordyn Huitema
RGN,Laurel Ivory
RGN,Lauren Barnes
RGN,Marley Canales
RGN,Megan Rapinoe
RGN,Nikki Stanton
RGN,Olivia Athens
RGN,Olivia Van der Jagt
RGN,Phallon Tullis-Joyce
RGN,Phoebe McClernon
RGN,Quinn
RGN,Rose Lavelle
RGN,Ryanne Brown
RGN,Sam Hiatt
RGN,Sinclaire Miramontez
RGN,Sofia Huerta
RGN,Tobin Heath
RGN,Tziarra King
RGN,Veronica Latsko
SD,Abby Dahlkemper
SD,Alex Morgan
SD,Amirah Ali
SD,Belle Briede
SD,Carly Telford
SD,Christen Westphal
SD,Emily van Egmond
SD,Jackie Altschuld
SD,Jaedyn Shaw
SD,Jodie Taylor
SD,Kailen Sheridan
SD,Kaleigh Riehl
SD,Katie Johnson
SD,Kayla Bruster
SD,Kelsey Turnbow
SD,Kristen McNabb
SD,Madison Pogarch
SD,Makenzy Doniak
SD,Marleen Schimmer
SD,Melissa Lowder
SD,Mia Gyau
SD,Naomi Girma
SD,Sofia Jakobsson
SD,Sydney Pulver
SD,Taylor Hansen
SD,Taylor Kornieck
WAS,Alia Martin
WAS,Amber Brooks
WAS,Andi Sullivan
WAS,Anna Heilferty
WAS,Ashley Hatch
WAS,Ashley Sanchez
WAS,Aubrey Kingsbury
WAS,Audrey Harding
WAS,Averie Collins
WAS,Bayley Feist
WAS,Camryn Biegalski
WAS,Devon Kerr
WAS,Dorian Bailey
WAS,Emily Sonnett
WAS,Gaby Vincent
WAS,Jordan Baggett
WAS,Julia Roddar
WAS,Karina Rodriguez
WAS,Kelley O'Hara
WAS,Maddie Elwell
WAS,Marissa Sheva
WAS,Nicole Barnhart
WAS,Sam Staab
WAS,Tara McKeown
WAS,Taylor Aylmer
WAS,Tori Huster
WAS,Trinity Rodman