Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,Fri,2015-04-10,19:00 (17:00),Dash,2–0,Spirit,6012,BBVA Compass Stadium,Katja Koroleva,Match Report,
Regular Season,Sat,2015-04-11,19:00,Thorns,4–1,Boston,13386,Providence Park,Margaret Domka,Match Report,
Regular Season,Sun,2015-04-12,19:00,Reign,5–1,Flash,2642,,Christina Unkel,Match Report,
Regular Season,Sun,2015-04-12,19:00 (17:00),Kansas City,0–1,Sky Blue,8489,Sporting Park,Christopher Spivey,Match Report,
Regular Season,Sat,2015-04-18,19:00 (16:00),Spirit,3–1,Kansas City,4136,Maureen Hendricks Field at Maryland Socc...,Mathew Richardson,Match Report,
Regular Season,Sat,2015-04-18,19:00 (16:00),Sky Blue,1–1,Dash,1742,,Elvis Mahmutovic,Match Report,
Regular Season,Sat,2015-04-18,19:00,Thorns,1–0,Flash,13148,Providence Park,Karen Abt,Match Report,
Regular Season,Sat,2015-04-18,19:00 (17:00),Red Stars,3–2,Reign,2368,,David Mon,Match Report,
Regular Season,Thu,2015-04-23,19:00 (17:00),Kansas City,1–0,Reign,2466,,Brandon Artis,Match Report,
Regular Season,Sun,2015-04-26,19:00 (16:00),Sky Blue,1–3,Spirit,953,,Farhad Dadkho,Match Report,
Regular Season,Sat,2015-04-25,19:00 (17:00),Red Stars,2–2,Thorns,2136,,Levi Rippy,Match Report,
Regular Season,Sun,2015-04-26,19:00 (16:00),Boston,3–2,Dash,2376,,Danielle Chesky,Match Report,
Regular Season,Sat,2015-05-02,19:00 (16:00),Flash,3–1,Boston,1873,,Greg Dopka,Match Report,
Regular Season,Sat,2015-05-02,19:00 (17:00),Red Stars,1–0,Sky Blue,1402,,Matt Franz,Match Report,
Regular Season,Sat,2015-05-02,19:00,Reign,3–1,Spirit,2703,,Karen Abt,Match Report,
Regular Season,Sat,2015-05-02,19:00 (17:00),Dash,0–2,Kansas City,4186,BBVA Compass Stadium,Margaret Domka,Match Report,
Regular Season,Fri,2015-05-08,19:00 (16:00),Flash,0–1,Kansas City,1802,,Christopher Spivey,Match Report,
Regular Season,Sat,2015-05-09,19:00 (16:00),Sky Blue,1–1,Reign,1562,,Matthew Kreitzer,Match Report,
Regular Season,Sat,2015-05-09,19:00,Thorns,2–2,Spirit,14236,Providence Park,Elvis Mahmutovic,Match Report,
Regular Season,Sat,2015-05-09,19:00 (17:00),Red Stars,3–0,Boston,16017,Toyota Park,Margaret Domka,Match Report,
Regular Season,Thu,2015-05-14,19:00 (17:00),Kansas City,0–0,Flash,1847,,Danielle Chesky,Match Report,
Regular Season,Sat,2015-05-16,19:00 (16:00),Spirit,1–0,Sky Blue,3095,Maureen Hendricks Field at Maryland Socc...,Margaret Domka,Match Report,
Regular Season,Fri,2015-05-15,19:00 (17:00),Dash,2–2,Red Stars,3527,BBVA Compass Stadium,Randall Kelley,Match Report,
Regular Season,Sat,2015-05-16,19:00 (16:00),Boston,1–0,Thorns,2669,,Christopher Spivey,Match Report,
Regular Season,Fri,2015-05-22,19:00 (16:00),Boston,1–1,Sky Blue,1861,,David Mon,Match Report,
Regular Season,Sat,2015-05-23,19:00 (16:00),Flash,3–2,Spirit,2110,,Elvis Mahmutovic,Match Report,
Regular Season,Sat,2015-05-23,19:00,Thorns,0–1,Dash,14409,Providence Park,Matthew Kreitzer,Match Report,
Regular Season,Sat,2015-05-23,19:00 (17:00),Kansas City,1–2,Red Stars,1592,,Farhad Dadkho,Match Report,
Regular Season,Sat,2015-05-30,19:00 (16:00),Spirit,2–1,Thorns,3519,Maureen Hendricks Field at Maryland Socc...,Farhad Dadkho,Match Report,
Regular Season,Sat,2015-05-30,19:00 (16:00),Boston,1–0,Kansas City,3176,,Cedric Adams,Match Report,
Regular Season,Sun,2015-05-31,19:00 (16:00),Sky Blue,1–1,Dash,958,,Levi Rippy,Match Report,
Regular Season,Sat,2015-05-30,19:00,Reign,0–0,Red Stars,2367,,Brandon Artis,Match Report,
Regular Season,Sat,2015-06-06,19:00 (16:00),Flash,3–1,Red Stars,2514,,Christopher Spivey,Match Report,
Regular Season,Sat,2015-06-06,19:00 (16:00),Spirit,1–1,Boston,3108,Maureen Hendricks Field at Maryland Socc...,Levi Rippy,Match Report,
Regular Season,Sat,2015-06-06,19:00,Reign,3–0,Sky Blue,2225,,Greg Dopka,Match Report,
Regular Season,Sat,2015-06-06,19:00 (17:00),Dash,0–0,Thorns,4864,BBVA Compass Stadium,Danielle Chesky,Match Report,
Regular Season,Fri,2015-06-19,19:00,Thorns,1–1,Kansas City,15214,Providence Park,Brandon Artis,Match Report,
Regular Season,Sat,2015-06-20,19:00 (17:00),Dash,2–0,Flash,3499,BBVA Compass Stadium,Karen Abt,Match Report,
Regular Season,Sun,2015-06-21,19:00 (16:00),Boston,2–3,Reign,2145,,Matthew Kreitzer,Match Report,
Regular Season,Sat,2015-06-27,19:00 (16:00),Spirit,1–0,Dash,1267,Maureen Hendricks Field at Maryland Socc...,Matt Franz,Match Report,
Regular Season,Sun,2015-06-28,19:00 (16:00),Sky Blue,0–3,Red Stars,1274,,Karen Abt,Match Report,
Regular Season,Sat,2015-06-27,19:00,Reign,2–1,Kansas City,3331,,Katja Koroleva,Match Report,
Regular Season,Sun,2015-06-28,19:00 (16:00),Boston,0–2,Flash,2011,,Farhad Dadkho,Match Report,
Regular Season,Fri,2015-07-03,19:00 (16:00),Flash,1–1,Reign,2377,,Greg Dopka,Match Report,
Regular Season,Fri,2015-07-03,19:00,Thorns,2–1,Sky Blue,12223,Providence Park,Levi Rippy,Match Report,
Regular Season,Fri,2015-07-03,19:00 (17:00),Kansas City,3–0,Spirit,2079,,Tori Penso,Match Report,
Regular Season,Thu,2015-07-09,19:00 (16:00),Boston,2–3,Kansas City,2525,,Margaret Domka,Match Report,
Regular Season,Sat,2015-07-11,19:00 (16:00),Sky Blue,1–0,Thorns,3014,,Randall Kelley,Match Report,
Regular Season,Sat,2015-07-11,19:00,Reign,4–2,Flash,5778,,Brandon Artis,Match Report,
Regular Season,Sun,2015-07-12,19:00 (17:00),Dash,1–2,Red Stars,13025,BBVA Compass Stadium,Christopher Spivey,Match Report,
Regular Season,Sat,2015-07-18,19:00 (16:00),Spirit,3–0,Reign,5413,Maureen Hendricks Field at Maryland Socc...,Christopher Spivey,Match Report,
Regular Season,Sat,2015-07-18,19:00 (17:00),Red Stars,1–1,Boston,3560,,Farhad Dadkho,Match Report,
Regular Season,Sun,2015-07-19,19:00 (16:00),Flash,3–3,Sky Blue,3161,,Matthew Mercier,Match Report,
Regular Season,Mon,2015-07-20,19:00 (17:00),Kansas City,1–1,Dash,3557,,Randall Kelley,Match Report,
Regular Season,Wed,2015-07-22,19:00 (16:00),Boston,1–2,Red Stars,3403,,Cedric Adams,Match Report,
Regular Season,Wed,2015-07-22,19:00,Thorns,0–1,Reign,21144,Providence Park,Karen Abt,Match Report,
Regular Season,Sat,2015-07-25,19:00 (16:00),Spirit,1–1,Red Stars,5100,Maureen Hendricks Field at Maryland Socc...,Brandon Artis,Match Report,
Regular Season,Sat,2015-07-25,19:00 (16:00),Sky Blue,3–1,Boston,2067,,Tori Penso,Match Report,
Regular Season,Sat,2015-07-25,19:00 (16:00),Flash,0–1,Dash,4110,,Margaret Domka,Match Report,
Regular Season,Sun,2015-07-26,19:00,Reign,3–0,Thorns,6303,,Matt Franz,Match Report,
Regular Season,Wed,2015-07-29,19:00 (16:00),Flash,0–2,Thorns,2979,,Brandon Artis,Match Report,
Regular Season,Wed,2015-07-29,19:00 (17:00),Dash,3–2,Kansas City,6425,BBVA Compass Stadium,Matthew Mercier,Match Report,
Regular Season,Sat,2015-08-01,19:00 (16:00),Sky Blue,1–2,Flash,3152,,Karen Abt,Match Report,
Regular Season,Sat,2015-08-01,19:00 (16:00),Spirit,3–1,Dash,5418,Maureen Hendricks Field at Maryland Socc...,Margaret Domka,Match Report,
Regular Season,Sat,2015-08-01,19:00 (16:00),Boston,1–2,Reign,4325,,Katja Koroleva,Match Report,
Regular Season,Sat,2015-08-01,19:00 (17:00),Red Stars,2–2,Kansas City,3477,,Matt Franz,Match Report,
Regular Season,Wed,2015-08-05,19:00,Thorns,5–2,Boston,15624,Providence Park,Matthew Kreitzer,Match Report,
Regular Season,Fri,2015-08-07,19:00 (17:00),Dash,0–2,Sky Blue,6216,BBVA Compass Stadium,Christopher Spivey,Match Report,
Regular Season,Sat,2015-08-08,19:00 (16:00),Boston,2–1,Spirit,4137,,Danielle Chesky,Match Report,
Regular Season,Sat,2015-08-08,19:00 (17:00),Kansas City,4–0,Flash,3086,,Greg Dopka,Match Report,
Regular Season,Sun,2015-08-09,19:00,Thorns,2–1,Red Stars,15858,Providence Park,Margaret Domka,Match Report,
Regular Season,Wed,2015-08-12,19:00 (16:00),Spirit,1–1,Flash,4101,Maureen Hendricks Field at Maryland Socc...,Tori Penso,Match Report,
Regular Season,Wed,2015-08-12,19:00 (17:00),Kansas City,3–0,Thorns,2982,,Katja Koroleva,Match Report,
Regular Season,Wed,2015-08-12,19:00 (17:00),Red Stars,1–1,Sky Blue,2013,,Randall Kelley,Match Report,
Regular Season,Wed,2015-08-12,19:00,Reign,2–1,Dash,6021,,Cedric Adams,Match Report,
Regular Season,Sun,2015-08-16,19:00 (17:00),Red Stars,1–2,Spirit,2470,,Levi Rippy,Match Report,
Regular Season,Fri,2015-08-21,19:00 (17:00),Dash,0–3,Reign,9530,BBVA Compass Stadium,Matthew Kreitzer,Match Report,
Regular Season,Sat,2015-08-22,19:00 (16:00),Sky Blue,1–0,Thorns,5547,,Farhad Dadkho,Match Report,
Regular Season,Sat,2015-08-22,19:00 (17:00),Kansas City,3–0,Boston,2321,,Brandon Artis,Match Report,
Regular Season,Sun,2015-08-23,19:00 (17:00),Red Stars,0–0,Flash,3036,,Christopher Spivey,Match Report,
Regular Season,Wed,2015-08-26,19:00,Reign,3–1,Boston,4484,,David Mon,Match Report,
Regular Season,Thu,2015-08-27,19:00 (17:00),Kansas City,0–0,Spirit,2492,,Randall Kelley,Match Report,
Regular Season,Sat,2015-08-29,19:00 (16:00),Flash,0–2,Red Stars,3525,,Danielle Chesky,Match Report,
Regular Season,Sat,2015-08-29,19:00,Reign,1–1,Sky Blue,4741,,Greg Dopka,Match Report,
Regular Season,Sun,2015-08-30,19:00 (17:00),Dash,1–0,Boston,6842,BBVA Compass Stadium,Cedric Adams,Match Report,
Regular Season,Sun,2015-08-30,19:00,Thorns,3–3,Spirit,21144,Providence Park,Katja Koroleva,Match Report,
Regular Season,Wed,2015-09-02,19:00 (16:00),Sky Blue,2–3,Kansas City,1620,,David Mon,Match Report,
Regular Season,Fri,2015-09-04,19:00 (16:00),Flash,3–2,Thorns,4147,,Karen Abt,Match Report,
Regular Season,Sat,2015-09-05,19:00 (16:00),Spirit,1–2,Reign,5708,Maureen Hendricks Field at Maryland Socc...,Brandon Artis,Match Report,
Regular Season,Sun,2015-09-06,19:00 (17:00),Red Stars,1–1,Dash,5623,Toyota Park,Margaret Domka,Match Report,
Semi-finals,Sun,2015-09-13,19:00 (17:00),Red Stars,0–3,Kansas City,3031,Toyota Park,Karen Abt,Match Report,
Semi-finals,Sun,2015-09-13,19:00,Reign,3–0,Spirit,5021,,Christopher Spivey,Match Report,
Final,Thu,2015-10-01,19:00,Kansas City,1–0,Reign,13264,Providence Park (Neutral Site),Katja Koroleva,Match Report,