kickoff,season,home_team,away_team,home_team_score,away_team_score,home_penalty_score,away_penalty_score,is_playoff
2013-04-14 17:00:00,2013,CHI,RGN,1,1,0,0,False
2013-04-14 18:00:00,2013,NJY,WNY,1,0,0,0,False
2013-04-14 18:30:00,2013,BOS,WAS,1,1,0,0,False
2013-04-13 19:35:00,2013,KC,POR,1,1,0,0,False
2013-04-20 19:00:00,2013,WAS,WNY,1,1,0,0,False
2013-04-21 14:00:00,2013,POR,RGN,2,1,0,0,False
2013-04-27 19:00:00,2013,WAS,NJY,1,2,0,0,False
2013-04-26 19:35:00,2013,KC,RGN,2,0,0,0,False
2013-04-27 19:35:00,2013,WNY,BOS,1,2,0,0,False
2013-04-27 19:00:00,2013,CHI,POR,0,2,0,0,False
2013-05-01 19:05:00,2013,WNY,NJY,2,1,0,0,False
2013-05-04 18:00:00,2013,BOS,CHI,4,1,0,0,False
2013-05-04 19:00:00,2013,WAS,POR,1,2,0,0,False
2013-05-04 20:00:00,2013,RGN,KC,0,1,0,0,False
2013-05-08 19:00:00,2013,NJY,CHI,1,1,0,0,False
2013-05-11 19:00:00,2013,WAS,BOS,1,1,0,0,False
2013-05-11 19:00:00,2013,NJY,RGN,2,0,0,0,False
2013-05-11 19:35:00,2013,WNY,KC,2,1,0,0,False
2013-05-12 17:00:00,2013,CHI,POR,0,2,0,0,False
2013-05-16 19:00:00,2013,RGN,WAS,2,4,0,0,False
2013-05-16 19:30:00,2013,POR,NJY,0,1,0,0,False
2013-05-19 14:00:00,2013,POR,WAS,2,0,0,0,False
2013-05-18 19:35:00,2013,KC,BOS,2,0,0,0,False
2013-05-19 18:00:00,2013,RGN,NJY,0,3,0,0,False
2013-05-24 19:05:00,2013,WNY,CHI,2,1,0,0,False
2013-05-25 19:00:00,2013,BOS,WAS,3,0,0,0,False
2013-05-25 19:00:00,2013,RGN,POR,0,1,0,0,False
2013-05-25 19:35:00,2013,KC,NJY,0,1,0,0,False
2013-06-01 14:00:00,2013,POR,CHI,0,2,0,0,False
2013-06-01 19:00:00,2013,NJY,BOS,5,1,0,0,False
2013-06-05 19:00:00,2013,BOS,WNY,2,2,0,0,False
2013-06-06 19:30:00,2013,POR,KC,4,3,0,0,False
2013-06-08 19:00:00,2013,NJY,WNY,0,3,0,0,False
2013-06-09 15:00:00,2013,CHI,BOS,1,0,0,0,False
2013-06-09 19:00:00,2013,RGN,KC,0,1,0,0,False
2013-06-13 18:30:00,2013,CHI,KC,0,2,0,0,False
2013-06-15 19:00:00,2013,WAS,WNY,0,2,0,0,False
2013-06-16 14:00:00,2013,POR,RGN,2,0,0,0,False
2013-06-16 15:10:00,2013,KC,CHI,1,3,0,0,False
2013-06-16 18:30:00,2013,BOS,NJY,2,3,0,0,False
2013-06-19 18:30:00,2013,CHI,WNY,2,2,0,0,False
2013-06-22 19:00:00,2013,NJY,POR,0,0,0,0,False
2013-06-23 15:10:00,2013,KC,WAS,2,0,0,0,False
2013-06-23 16:05:00,2013,WNY,RGN,1,1,0,0,False
2013-06-26 19:00:00,2013,BOS,RGN,1,2,0,0,False
2013-06-26 19:00:00,2013,NJY,KC,2,2,0,0,False
2013-06-28 19:05:00,2013,WNY,WAS,4,0,0,0,False
2013-06-30 15:10:00,2013,KC,POR,2,0,0,0,False
2013-06-30 18:30:00,2013,BOS,NJY,3,2,0,0,False
2013-06-29 20:00:00,2013,RGN,CHI,3,1,0,0,False
2013-07-03 19:30:00,2013,WAS,KC,1,1,0,0,False
2013-07-04 13:00:00,2013,CHI,WNY,1,0,0,0,False
2013-07-03 19:00:00,2013,RGN,BOS,1,1,0,0,False
2013-07-06 19:00:00,2013,NJY,WAS,1,0,0,0,False
2013-07-07 15:10:00,2013,KC,WNY,0,0,0,0,False
2013-07-06 19:30:00,2013,POR,BOS,0,2,0,0,False
2013-07-10 19:30:00,2013,WAS,CHI,0,2,0,0,False
2013-07-11 19:00:00,2013,RGN,WNY,3,2,0,0,False
2013-07-13 19:00:00,2013,NJY,BOS,0,0,0,0,False
2013-07-14 14:00:00,2013,POR,WNY,1,1,0,0,False
2013-07-14 15:00:00,2013,CHI,KC,3,3,0,0,False
2013-07-14 17:30:00,2013,RGN,WAS,2,1,0,0,False
2013-07-20 18:00:00,2013,CHI,WAS,1,0,0,0,False
2013-07-21 13:30:00,2013,WNY,NJY,3,0,0,0,False
2013-07-21 16:00:00,2013,BOS,POR,1,2,0,0,False
2013-07-20 19:35:00,2013,KC,RGN,2,0,0,0,False
2013-07-24 19:35:00,2013,KC,BOS,3,0,0,0,False
2013-07-25 19:00:00,2013,RGN,CHI,4,1,0,0,False
2013-07-27 19:00:00,2013,WAS,BOS,2,5,0,0,False
2013-07-28 16:00:00,2013,POR,CHI,3,3,0,0,False
2013-07-28 18:00:00,2013,NJY,KC,0,1,0,0,False
2013-07-31 19:05:00,2013,WNY,WAS,3,0,0,0,False
2013-07-31 19:30:00,2013,POR,NJY,3,1,0,0,False
2013-08-03 18:00:00,2013,BOS,WNY,2,2,0,0,False
2013-08-03 18:00:00,2013,CHI,RGN,3,1,0,0,False
2013-08-03 19:00:00,2013,NJY,WAS,1,0,0,0,False
2013-08-04 17:30:00,2013,POR,KC,2,3,0,0,False
2013-08-07 19:00:00,2013,BOS,POR,2,1,0,0,False
2013-08-07 19:05:00,2013,WNY,RGN,1,0,0,0,False
2013-08-07 19:30:00,2013,WAS,CHI,1,0,0,0,False
2013-08-10 18:00:00,2013,CHI,NJY,3,3,0,0,False
2013-08-10 18:00:00,2013,BOS,KC,1,0,0,0,False
2013-08-10 19:00:00,2013,WAS,RGN,1,0,0,0,False
2013-08-10 19:35:00,2013,WNY,POR,0,0,0,0,False
2013-08-18 15:10:00,2013,KC,CHI,1,2,0,0,False
2013-08-18 17:00:00,2013,WAS,NJY,1,1,0,0,False
2013-08-17 20:00:00,2013,WNY,BOS,2,1,0,0,False
2013-08-17 20:00:00,2013,RGN,POR,1,2,0,0,False
2013-08-24 13:00:00,2013,KC,POR,2,3,0,0,True
2013-08-24 20:00:00,2013,WNY,NJY,2,0,0,0,True
2013-08-31 20:00:00,2013,WNY,POR,0,2,0,0,True
2014-04-12 19:00:00,2014,KC,NJY,1,1,0,0,False
2014-04-13 19:00:00,2014,WAS,WNY,1,3,0,0,False
2014-04-12 19:00:00,2014,HOU,POR,0,1,0,0,False
2014-04-13 19:00:00,2014,RGN,BOS,3,0,0,0,False
2014-04-19 19:00:00,2014,WAS,KC,3,1,0,0,False
2014-04-19 19:00:00,2014,NJY,POR,1,1,0,0,False
2014-04-19 19:00:00,2014,CHI,WNY,1,0,0,0,False
2014-04-20 19:00:00,2014,BOS,HOU,2,3,0,0,False
2014-04-23 19:00:00,2014,RGN,WAS,3,1,0,0,False
2014-04-26 19:00:00,2014,CHI,WAS,0,1,0,0,False
2014-04-27 19:00:00,2014,BOS,NJY,3,2,0,0,False
2014-04-26 19:00:00,2014,POR,KC,3,1,0,0,False
2014-04-27 19:00:00,2014,RGN,HOU,2,0,0,0,False
2014-04-30 19:00:00,2014,NJY,RGN,0,2,0,0,False
2014-04-30 19:00:00,2014,KC,CHI,1,0,0,0,False
2014-05-03 19:00:00,2014,WAS,RGN,1,2,0,0,False
2014-05-03 19:00:00,2014,WNY,POR,1,1,0,0,False
2014-05-03 19:00:00,2014,NJY,BOS,1,0,0,0,False
2014-05-03 19:00:00,2014,HOU,KC,0,4,0,0,False
2014-05-07 19:00:00,2014,NJY,CHI,1,1,0,0,False
2014-05-07 19:00:00,2014,WNY,KC,2,1,0,0,False
2014-05-10 19:00:00,2014,POR,RGN,0,1,0,0,False
2014-05-11 19:00:00,2014,WNY,NJY,2,0,0,0,False
2014-05-11 19:00:00,2014,KC,WAS,2,1,0,0,False
2014-05-11 19:00:00,2014,CHI,HOU,1,0,0,0,False
2014-05-15 19:00:00,2014,BOS,CHI,1,3,0,0,False
2014-05-14 19:00:00,2014,RGN,KC,3,2,0,0,False
2014-05-14 19:00:00,2014,HOU,POR,0,1,0,0,False
2014-05-17 19:00:00,2014,WAS,WNY,3,2,0,0,False
2014-05-18 19:00:00,2014,BOS,CHI,1,4,0,0,False
2014-05-18 19:00:00,2014,KC,HOU,2,2,0,0,False
2014-05-21 19:00:00,2014,WAS,NJY,3,3,0,0,False
2014-05-21 19:00:00,2014,KC,RGN,1,1,0,0,False
2014-05-21 19:00:00,2014,POR,WNY,2,1,0,0,False
2014-05-23 19:00:00,2014,HOU,CHI,1,3,0,0,False
2014-05-24 19:00:00,2014,POR,NJY,0,1,0,0,False
2014-05-25 19:00:00,2014,BOS,KC,0,2,0,0,False
2014-05-26 19:00:00,2014,WAS,HOU,3,2,0,0,False
2014-05-25 19:00:00,2014,RGN,WNY,2,2,0,0,False
2014-05-28 19:00:00,2014,BOS,POR,4,1,0,0,False
2014-05-28 19:00:00,2014,NJY,CHI,0,2,0,0,False
2014-05-31 19:00:00,2014,WNY,HOU,1,2,0,0,False
2014-06-01 19:00:00,2014,NJY,RGN,1,3,0,0,False
2014-06-01 19:00:00,2014,BOS,WAS,2,3,0,0,False
2014-06-04 19:00:00,2014,CHI,WAS,0,1,0,0,False
2014-06-04 19:00:00,2014,KC,WNY,1,0,0,0,False
2014-06-07 19:00:00,2014,POR,WNY,0,5,0,0,False
2014-06-07 19:00:00,2014,KC,BOS,2,0,0,0,False
2014-06-08 19:00:00,2014,NJY,HOU,0,3,0,0,False
2014-06-07 19:00:00,2014,RGN,CHI,3,1,0,0,False
2014-06-11 19:00:00,2014,BOS,WAS,2,0,0,0,False
2014-06-11 19:00:00,2014,HOU,WNY,2,1,0,0,False
2014-06-14 19:00:00,2014,HOU,KC,1,2,0,0,False
2014-06-15 19:00:00,2014,CHI,NJY,2,2,0,0,False
2014-06-15 19:00:00,2014,POR,WAS,2,0,0,0,False
2014-06-18 19:00:00,2014,WNY,CHI,2,0,0,0,False
2014-06-19 19:00:00,2014,BOS,RGN,0,2,0,0,False
2014-06-21 19:00:00,2014,WAS,POR,1,6,0,0,False
2014-06-22 19:00:00,2014,NJY,BOS,1,1,0,0,False
2014-06-22 19:00:00,2014,WNY,RGN,1,2,0,0,False
2014-06-21 19:00:00,2014,KC,CHI,1,0,0,0,False
2014-06-25 19:00:00,2014,POR,NJY,1,2,0,0,False
2014-06-27 19:00:00,2014,WNY,BOS,2,1,0,0,False
2014-06-28 19:00:00,2014,RGN,NJY,0,0,0,0,False
2014-06-28 19:00:00,2014,HOU,WAS,0,1,0,0,False
2014-06-28 19:00:00,2014,KC,POR,1,0,0,0,False
2014-07-02 19:00:00,2014,WAS,BOS,3,3,0,0,False
2014-07-02 19:00:00,2014,WNY,RGN,1,2,0,0,False
2014-07-04 19:00:00,2014,POR,CHI,2,2,0,0,False
2014-07-05 19:00:00,2014,HOU,WNY,1,4,0,0,False
2014-07-06 19:00:00,2014,NJY,KC,0,5,0,0,False
2014-07-06 19:00:00,2014,RGN,BOS,3,2,0,0,False
2014-07-09 19:00:00,2014,CHI,POR,1,1,0,0,False
2014-07-11 19:00:00,2014,HOU,BOS,2,1,0,0,False
2014-07-12 19:00:00,2014,WNY,WAS,0,1,0,0,False
2014-07-12 19:00:00,2014,CHI,RGN,1,0,0,0,False
2014-07-13 19:00:00,2014,POR,KC,7,1,0,0,False
2014-07-17 19:00:00,2014,CHI,POR,1,1,0,0,False
2014-07-18 19:00:00,2014,WNY,KC,1,1,0,0,False
2014-07-17 19:00:00,2014,HOU,WAS,1,1,0,0,False
2014-07-20 19:00:00,2014,NJY,WAS,4,2,0,0,False
2014-07-20 19:00:00,2014,RGN,CHI,1,1,0,0,False
2014-07-20 19:00:00,2014,POR,BOS,6,3,0,0,False
2014-07-23 19:00:00,2014,WAS,POR,1,1,0,0,False
2014-07-25 19:00:00,2014,WNY,BOS,2,4,0,0,False
2014-07-26 19:00:00,2014,CHI,HOU,0,0,0,0,False
2014-07-27 19:00:00,2014,RGN,POR,5,0,0,0,False
2014-07-27 19:00:00,2014,KC,NJY,2,1,0,0,False
2014-07-30 19:00:00,2014,WAS,KC,2,1,0,0,False
2014-07-31 19:00:00,2014,NJY,WNY,1,0,0,0,False
2014-07-30 19:00:00,2014,HOU,RGN,1,4,0,0,False
2014-08-02 19:00:00,2014,WAS,CHI,2,1,0,0,False
2014-08-02 19:00:00,2014,KC,RGN,1,1,0,0,False
2014-08-03 19:00:00,2014,BOS,WNY,3,4,0,0,False
2014-08-03 19:00:00,2014,POR,HOU,1,0,0,0,False
2014-08-06 19:00:00,2014,RGN,HOU,4,1,0,0,False
2014-08-06 19:00:00,2014,KC,BOS,2,1,0,0,False
2014-08-09 19:00:00,2014,CHI,KC,2,1,0,0,False
2014-08-10 19:00:00,2014,BOS,POR,2,0,0,0,False
2014-08-09 19:00:00,2014,HOU,NJY,1,3,0,0,False
2014-08-09 19:00:00,2014,RGN,WAS,1,1,0,0,False
2014-08-13 19:00:00,2014,WNY,NJY,2,3,0,0,False
2014-08-13 19:00:00,2014,CHI,BOS,2,0,0,0,False
2014-08-16 19:00:00,2014,WAS,NJY,0,1,0,0,False
2014-08-17 19:00:00,2014,BOS,HOU,1,0,0,0,False
2014-08-16 19:00:00,2014,CHI,WNY,3,3,0,0,False
2014-08-17 19:00:00,2014,POR,RGN,1,0,0,0,False
2014-08-20 19:00:00,2014,NJY,HOU,1,0,0,0,False
2014-08-23 19:00:00,2014,KC,POR,2,0,0,0,True
2014-08-24 19:00:00,2014,RGN,WAS,2,1,0,0,True
2014-08-31 19:00:00,2014,RGN,KC,1,2,0,0,True
2015-04-10 19:00:00,2015,HOU,WAS,2,0,0,0,False
2015-04-11 19:00:00,2015,POR,BOS,4,1,0,0,False
2015-04-12 19:00:00,2015,RGN,WNY,5,1,0,0,False
2015-04-12 19:00:00,2015,KC,NJY,0,1,0,0,False
2015-04-18 19:00:00,2015,WAS,KC,3,1,0,0,False
2015-04-18 19:00:00,2015,NJY,HOU,1,1,0,0,False
2015-04-18 19:00:00,2015,POR,WNY,1,0,0,0,False
2015-04-18 19:00:00,2015,CHI,RGN,3,2,0,0,False
2015-04-23 19:00:00,2015,KC,RGN,1,0,0,0,False
2015-04-26 19:00:00,2015,NJY,WAS,1,3,0,0,False
2015-04-25 19:00:00,2015,CHI,POR,2,2,0,0,False
2015-04-26 19:00:00,2015,BOS,HOU,3,2,0,0,False
2015-05-02 19:00:00,2015,WNY,BOS,3,1,0,0,False
2015-05-02 19:00:00,2015,CHI,NJY,1,0,0,0,False
2015-05-02 19:00:00,2015,RGN,WAS,3,1,0,0,False
2015-05-02 19:00:00,2015,HOU,KC,0,2,0,0,False
2015-05-08 19:00:00,2015,WNY,KC,0,1,0,0,False
2015-05-09 19:00:00,2015,NJY,RGN,1,1,0,0,False
2015-05-09 19:00:00,2015,POR,WAS,2,2,0,0,False
2015-05-09 19:00:00,2015,CHI,BOS,3,0,0,0,False
2015-05-14 19:00:00,2015,KC,WNY,0,0,0,0,False
2015-05-16 19:00:00,2015,WAS,NJY,1,0,0,0,False
2015-05-15 19:00:00,2015,HOU,CHI,2,2,0,0,False
2015-05-16 19:00:00,2015,BOS,POR,1,0,0,0,False
2015-05-22 19:00:00,2015,BOS,NJY,1,1,0,0,False
2015-05-23 19:00:00,2015,WNY,WAS,3,2,0,0,False
2015-05-23 19:00:00,2015,POR,HOU,0,1,0,0,False
2015-05-23 19:00:00,2015,KC,CHI,1,2,0,0,False
2015-05-30 19:00:00,2015,WAS,POR,2,1,0,0,False
2015-05-30 19:00:00,2015,BOS,KC,1,0,0,0,False
2015-05-31 19:00:00,2015,NJY,HOU,1,1,0,0,False
2015-05-30 19:00:00,2015,RGN,CHI,0,0,0,0,False
2015-06-06 19:00:00,2015,WNY,CHI,3,1,0,0,False
2015-06-06 19:00:00,2015,WAS,BOS,1,1,0,0,False
2015-06-06 19:00:00,2015,RGN,NJY,3,0,0,0,False
2015-06-06 19:00:00,2015,HOU,POR,0,0,0,0,False
2015-06-19 19:00:00,2015,POR,KC,1,1,0,0,False
2015-06-20 19:00:00,2015,HOU,WNY,2,0,0,0,False
2015-06-21 19:00:00,2015,BOS,RGN,2,3,0,0,False
2015-06-27 19:00:00,2015,WAS,HOU,1,0,0,0,False
2015-06-28 19:00:00,2015,NJY,CHI,0,3,0,0,False
2015-06-27 19:00:00,2015,RGN,KC,2,1,0,0,False
2015-06-28 19:00:00,2015,BOS,WNY,0,2,0,0,False
2015-07-03 19:00:00,2015,WNY,RGN,1,1,0,0,False
2015-07-03 19:00:00,2015,POR,NJY,2,1,0,0,False
2015-07-03 19:00:00,2015,KC,WAS,3,0,0,0,False
2015-07-09 19:00:00,2015,BOS,KC,2,3,0,0,False
2015-07-11 19:00:00,2015,NJY,POR,1,0,0,0,False
2015-07-11 19:00:00,2015,RGN,WNY,4,2,0,0,False
2015-07-12 19:00:00,2015,HOU,CHI,1,2,0,0,False
2015-07-18 19:00:00,2015,WAS,RGN,3,0,0,0,False
2015-07-18 19:00:00,2015,CHI,BOS,1,1,0,0,False
2015-07-19 19:00:00,2015,WNY,NJY,3,3,0,0,False
2015-07-20 19:00:00,2015,KC,HOU,1,1,0,0,False
2015-07-22 19:00:00,2015,BOS,CHI,1,2,0,0,False
2015-07-22 19:00:00,2015,POR,RGN,0,1,0,0,False
2015-07-25 19:00:00,2015,WAS,CHI,1,1,0,0,False
2015-07-25 19:00:00,2015,NJY,BOS,3,1,0,0,False
2015-07-25 19:00:00,2015,WNY,HOU,0,1,0,0,False
2015-07-26 19:00:00,2015,RGN,POR,3,0,0,0,False
2015-07-29 19:00:00,2015,WNY,POR,0,2,0,0,False
2015-07-29 19:00:00,2015,HOU,KC,3,2,0,0,False
2015-08-01 19:00:00,2015,NJY,WNY,1,2,0,0,False
2015-08-01 19:00:00,2015,WAS,HOU,3,1,0,0,False
2015-08-01 19:00:00,2015,BOS,RGN,1,2,0,0,False
2015-08-01 19:00:00,2015,CHI,KC,2,2,0,0,False
2015-08-05 19:00:00,2015,POR,BOS,5,2,0,0,False
2015-08-07 19:00:00,2015,HOU,NJY,0,2,0,0,False
2015-08-08 19:00:00,2015,BOS,WAS,2,1,0,0,False
2015-08-08 19:00:00,2015,KC,WNY,4,0,0,0,False
2015-08-09 19:00:00,2015,POR,CHI,2,1,0,0,False
2015-08-12 19:00:00,2015,WAS,WNY,1,1,0,0,False
2015-08-12 19:00:00,2015,KC,POR,3,0,0,0,False
2015-08-12 19:00:00,2015,CHI,NJY,1,1,0,0,False
2015-08-12 19:00:00,2015,RGN,HOU,2,1,0,0,False
2015-08-16 19:00:00,2015,CHI,WAS,1,2,0,0,False
2015-08-21 19:00:00,2015,HOU,RGN,0,3,0,0,False
2015-08-22 19:00:00,2015,NJY,POR,1,0,0,0,False
2015-08-22 19:00:00,2015,KC,BOS,3,0,0,0,False
2015-08-23 19:00:00,2015,CHI,WNY,0,0,0,0,False
2015-08-26 19:00:00,2015,RGN,BOS,3,1,0,0,False
2015-08-27 19:00:00,2015,KC,WAS,0,0,0,0,False
2015-08-29 19:00:00,2015,WNY,CHI,0,2,0,0,False
2015-08-29 19:00:00,2015,RGN,NJY,1,1,0,0,False
2015-08-30 19:00:00,2015,HOU,BOS,1,0,0,0,False
2015-08-30 19:00:00,2015,POR,WAS,3,3,0,0,False
2015-09-02 19:00:00,2015,NJY,KC,2,3,0,0,False
2015-09-04 19:00:00,2015,WNY,POR,3,2,0,0,False
2015-09-05 19:00:00,2015,WAS,RGN,1,2,0,0,False
2015-09-06 19:00:00,2015,CHI,HOU,1,1,0,0,False
2015-09-13 19:00:00,2015,CHI,KC,0,3,0,0,True
2015-09-13 19:00:00,2015,RGN,WAS,3,0,0,0,True
2015-10-01 19:00:00,2015,KC,RGN,1,0,0,0,True
2016-04-16 19:00:00,2016,WAS,BOS,1,0,0,0,False
2016-04-16 20:30:00,2016,KC,WNY,0,1,0,0,False
2016-04-16 20:30:00,2016,HOU,CHI,3,1,0,0,False
2016-04-17 19:00:00,2016,RGN,NJY,1,2,0,0,False
2016-04-17 22:00:00,2016,POR,ORL,2,1,0,0,False
2016-04-23 19:00:00,2016,CHI,WNY,1,0,0,0,False
2016-04-23 19:30:00,2016,ORL,HOU,3,1,0,0,False
2016-04-23 20:30:00,2016,KC,POR,1,1,0,0,False
2016-04-24 18:00:00,2016,NJY,WAS,1,2,0,0,False
2016-04-24 18:30:00,2016,BOS,RGN,0,3,0,0,False
2016-04-29 19:00:00,2016,WNY,WAS,0,3,0,0,False
2016-04-29 20:30:00,2016,HOU,NJY,0,0,0,0,False
2016-05-01 17:00:00,2016,BOS,POR,0,1,0,0,False
2016-05-01 18:00:00,2016,CHI,ORL,1,0,0,0,False
2016-05-01 19:00:00,2016,RGN,KC,1,0,0,0,False
2016-05-07 19:00:00,2016,NJY,WNY,1,2,0,0,False
2016-05-07 19:00:00,2016,WAS,POR,0,0,0,0,False
2016-05-07 19:00:00,2016,BOS,CHI,0,1,0,0,False
2016-05-07 20:30:00,2016,KC,HOU,1,2,0,0,False
2016-05-08 17:00:00,2016,ORL,RGN,2,0,0,0,False
2016-05-13 19:00:00,2016,NJY,BOS,1,0,0,0,False
2016-05-13 20:30:00,2016,KC,CHI,0,0,0,0,False
2016-05-14 19:00:00,2016,WAS,HOU,1,0,0,0,False
2016-05-14 19:30:00,2016,ORL,WNY,1,0,0,0,False
2016-05-14 22:00:00,2016,RGN,POR,1,1,0,0,False
2016-05-20 20:40:00,2016,HOU,ORL,0,1,0,0,False
2016-05-21 19:05:00,2016,WNY,NJY,5,2,0,0,False
2016-05-21 22:00:00,2016,POR,WAS,4,1,0,0,False
2016-05-22 18:30:00,2016,BOS,KC,1,0,0,0,False
2016-05-22 19:00:00,2016,RGN,CHI,1,2,0,0,False
2016-05-27 19:00:00,2016,WNY,BOS,4,0,0,0,False
